n,cvar,qcvar,var,qvar,tvar,qtvar
12,10.906269,0.559546,0.42588899999999996,0.348941,0.7499819999999999,1.086649
12,1.194266,0.836348,0.700036,0.358239,1.233932,1.5447199999999999
12,7.430687,0.572341,0.406302,0.356054,0.744201,1.004853
12,0.5665089999999999,0.558393,0.406562,0.348721,0.7491,1.0170249999999998
12,0.566089,0.567541,0.420328,0.35470199999999996,0.7213769999999999,0.989984
12,0.563384,0.571228,0.399638,0.35592399999999996,0.7657919999999999,1.037765
12,0.545539,0.555348,0.420568,0.346777,0.7345619999999999,1.1030609999999998
12,1.142326,0.675819,0.475284,0.35761699999999996,0.74332,1.014481
12,0.533075,0.565036,0.40608,0.357037,0.620553,1.1174279999999999
12,0.879771,0.574815,0.418425,0.34921199999999997,0.792254,1.1187909999999999
13,0.908868,0.660701,0.565878,0.220985,0.484622,0.638227
13,0.383969,0.44064699999999996,0.31687899999999997,0.224982,0.45902299999999996,0.751344
13,0.902134,0.6739649999999999,2.012419,0.225203,0.44031699999999996,0.701769
13,0.432482,0.418184,0.251093,0.21858,0.486355,0.6418729999999999
13,0.359962,0.412413,0.25431899999999996,0.225213,0.5047699999999999,0.6475449999999999
13,0.368108,0.416591,0.273005,0.221435,0.429316,1.132989
13,1.8393659999999998,0.39508,0.23513199999999998,0.229321,1.610607,0.611926
13,0.373378,1.594806,0.252546,0.22189699999999998,0.481796,0.647114
13,0.360664,0.455966,0.311098,0.221496,0.48813799999999996,1.831481
13,0.35101499999999997,0.414657,0.507545,0.223329,0.49634399999999995,0.625062
14,0.9796229999999999,0.40754399999999996,0.24986999999999998,0.219943,1.601189,0.6106739999999999
14,0.429546,0.41069999999999995,0.229121,0.235253,0.420508,0.683634
14,0.36678499999999997,0.39602099999999996,0.23415999999999998,0.22354,0.40888599999999997,0.644569
14,0.37439,0.41462699999999997,0.24351799999999998,0.221245,0.449283,0.603169
14,0.41597999999999996,0.470835,0.252616,0.229822,0.48877,0.617798
14,1.574347,0.409707,0.235613,0.222518,1.65888,0.661632
14,0.427041,0.406651,43.621027,0.222208,1.0134079999999999,1.0819699999999999
14,0.9188369999999999,0.42463599999999996,0.295518,0.2236,0.736796,0.6855279999999999
14,0.384318,0.674828,0.25508,0.22225699999999998,0.76456,1.2216479999999998
14,0.93112,0.69177,0.522825,0.22186699999999998,1.077372,1.278448
15,0.389368,0.45746,0.254279,0.231485,0.507956,0.700677
15,0.512976,1.568846,0.25574199999999997,0.221626,0.49691599999999997,0.7057669999999999
15,0.394428,0.42066899999999996,0.256363,0.22355,0.632887,0.777976
