n,cvar,qcvar,var,qvar,tvar,qtvar,expectation
1000,0.031890999999999996,0.011701999999999999,0.043924,0.008476,0.033264,0.014948999999999999,0.005951
1000,0.031751,0.005611,0.023866,0.003767,0.024416,0.01558,0.001833
1000,0.032984,0.013096,0.024326999999999998,0.014978,0.025648999999999998,0.018586,0.0015329999999999999
1000,0.030639,0.010409999999999999,0.023305,0.007784999999999999,0.023596,0.018084,0.001513
1000,0.03131,0.040197,0.023625,0.021651,0.025148999999999998,0.014809,0.001583
1000,0.031581,0.0156,0.025299,0.016521,0.026411,0.015359,0.001834
1000,0.031791,0.010621,0.023205,0.007704,0.024586999999999998,0.016161,0.0015429999999999999
1000,0.031901,0.007495,0.023565,0.004599,0.024718,0.019015999999999998,0.001844
1000,0.032232,0.02056,0.024537,0.028154,0.026099999999999998,0.016071,0.0014529999999999999
1000,0.033614,0.015799999999999998,0.02599,0.015158999999999999,0.026251,0.013365,0.001423
1000,0.054995999999999996,0.018886,0.040347999999999995,0.020378999999999998,0.040397999999999996,0.030539,0.002244
1000,0.03157,0.008205,0.032501999999999996,0.0055509999999999995,0.024487,0.016652,0.001553
1000,0.031751,0.005830999999999999,0.032442,0.003266,0.024186,0.019396999999999998,0.001193
1000,0.040107,0.007956,0.022754,0.005251,0.023264999999999997,0.01599,0.0017239999999999998
1000,0.031651,0.007384,0.023004,0.004699,0.023576,0.016843,0.0015429999999999999
1000,0.032452999999999996,0.008506,0.025529,0.005541,0.024918,0.017113,0.001442
1000,0.03127,0.006072,0.022813999999999997,0.003326,0.022944,0.019466999999999998,0.001573
1000,0.030218,0.015288999999999999,0.023034,0.016311,0.023736,0.018154,0.001432
1000,0.030558,0.01565,0.023856,0.014789,0.024166,0.014698,0.0016029999999999998
1000,0.032983,0.014587999999999999,0.033685,0.014929,0.026740999999999997,0.01556,0.001714
1000,0.031139999999999998,0.015489,0.024107,0.012494,0.024357,0.012724,0.001353
1000,0.032803,0.011963,0.024838,0.014097,0.025178,0.017483,0.001263
1000,0.032142,0.01051,0.028525,0.007052999999999999,0.026470999999999998,0.011793,0.001383
1000,0.032422,0.013065,0.025217999999999997,0.012643999999999999,0.02607,0.018535,0.0016339999999999998
1000,0.031118999999999997,0.013757,0.023475,0.008917,0.025179,0.011091,0.0012829999999999999
1000,0.032572,0.014627999999999999,0.024406999999999998,0.011132,0.02599,0.012303999999999999,0.001482
1000,0.032963,0.013847,0.029606,0.011582,0.028575,0.034356,0.001633
1000,0.032271999999999995,0.010881,0.023926,0.008035,0.024988,0.015378999999999999,0.0014529999999999999
1000,0.032372,0.009958999999999999,0.024947999999999998,0.0065829999999999994,0.02613,0.016791999999999998,0.001403
1000,0.033595,0.012634999999999999,0.026560999999999998,0.018285,0.026570999999999997,0.013996999999999999,0.001513
1000,0.031851,0.013085,0.032973999999999996,0.009719,0.02575,0.014988999999999999,0.001423
1000,0.033333999999999996,0.009358,0.025469,0.015681,0.026150999999999997,0.013484999999999999,0.001653
1000,0.032622,0.013616,0.025228999999999998,0.009507999999999999,0.0258,0.014818,0.0017439999999999999
1000,0.032312,0.017363999999999997,0.025047999999999997,0.021502,0.025549,0.013847,0.001392
1000,0.031460999999999996,0.017854,0.024125999999999998,0.019537,0.025418,0.013465,0.001423
1000,0.032382999999999995,0.015389,0.024668,0.015328999999999999,0.026631,0.015219,0.0015429999999999999
1000,0.032001,0.017484,0.024657,0.022543,0.024846999999999998,0.015891,0.001473
1000,0.041399,0.006522,0.023205,0.0039169999999999995,0.023334,0.018966999999999998,0.001513
1000,0.033194,0.009387999999999999,0.025429,0.005229999999999999,0.02598,0.016642,0.0016539999999999999
1000,0.032522999999999996,0.013786999999999999,0.024547,0.012875,0.025037999999999998,0.018586,0.001633
1000,0.031129999999999998,0.010901,0.023014,0.007865,0.023666,0.014939,0.001653
1000,0.033895,0.011963,0.02592,0.008485999999999999,0.027312,0.014848,0.0015329999999999999
1000,0.033044,0.011823,0.024487,0.008797,0.025748999999999998,0.016772,0.001723
1000,0.032472,0.01604,0.025088,0.018123999999999998,0.026941999999999997,0.022383,0.001473
1000,0.032352,0.016672,0.025219,0.01576,0.02581,0.010751,0.0018939999999999999
1000,0.033344,0.035508,0.027271999999999998,0.012683999999999999,0.027523,0.017063,0.001513
1000,0.033995,0.013295,0.026861,0.012203,0.026761,0.015198999999999999,0.001763
1000,0.033534,0.013696,0.025758999999999997,0.009989,0.026732,0.015269,0.001844
1000,0.032362,0.015941,0.025008,0.014537999999999999,0.02573,0.014516999999999999,0.001594
1000,0.034116,0.009247,0.025529,0.007744999999999999,0.026189999999999998,0.017965,0.001753
2000,0.08789899999999999,0.029956999999999998,0.058372,0.023684999999999998,0.061397,0.041039,0.0029259999999999998
2000,0.064664,0.027423,0.05756,0.0209,0.060376,0.026490999999999997,0.003116
2000,0.061999,0.030097,0.051469,0.004719,0.052591,0.040827999999999996,0.003106
2000,0.066006,0.027632999999999998,0.058823,0.021471,0.062791,0.035939,0.0027649999999999997
2000,0.064424,0.030399,0.066046,0.024006,0.059875,0.033284,0.002695
2000,0.067289,0.018355,0.05697,0.012404,0.061027,0.035087,0.002966
