n,diff
100,10.684675315796937
200,9.723028885470725
300,9.677905312503292
400,9.974666891184441
500,9.654058275453956
600,10.132329238102507
700,9.85648440615958
800,9.812314885428563
900,10.011751004076494
1000,9.980668908466157
1100,9.953538362958795
1200,9.802058696834528
1300,9.808054785220136
1400,10.011796313556012
1500,9.989920437275053
1600,9.897273295189812
1700,9.892479072991051
1800,9.90601831298698
1900,9.774475344351586
2000,9.918915277931191
2100,9.788079721849861
2200,10.071183130925782
2300,9.990065124786938
2400,10.01892969060642
2500,9.851148747742926
2600,9.985205531509877
2700,9.967220190658175
2800,9.98482020384877
2900,9.867659308648584
3000,9.861142101549305
3100,9.963642697775654
3200,9.935584516775592
3300,10.030129831751992
3400,9.943159295258553
3500,9.880903583867585
3600,9.955159179307287
3700,9.993560289554011
3800,9.889291503736032
3900,9.87509899987323
4000,9.905034934663135
4100,9.85903164414151
4200,9.947279221835764
4300,9.887907059469548
4400,9.886798738015933
4500,9.982326334762213
4600,10.02086948479154
4700,10.027384909992257
4800,9.96273493960043
4900,9.913458748520412
5000,9.969532373386329
5100,9.912736173697716
5200,9.990073072889473
5300,9.945026509769107
5400,9.859721966454757
5500,9.888139590548477
5600,9.934486289960375
5700,9.869479433280148
5800,9.93162497786178
5900,9.90571475681623
6000,9.963540742504179
6100,9.925622109208604
6200,9.917679774849091
6300,9.918133268084624
6400,9.959208749412994
6500,9.918598732361431
6600,9.864670732424145
6700,9.88893039362582
6800,9.930455291546643
6900,9.923187692769538
7000,9.969283795302246
7100,9.973432993964963
7200,9.863894976858127
7300,9.885471783816826
7400,9.897006563108114
7500,9.97087830236601
7600,9.943518547489056
7700,9.906640883517866
7800,9.925024604457803
7900,9.987075779288155
8000,9.92968578542451
8100,10.00145668832829
8200,9.911333465108214
8300,9.87641692974973
8400,9.950959209221622
8500,9.90600762587809
8600,9.934032556309987
8700,9.90380727293087
8800,9.937725289809855
8900,10.025082428146533
9000,10.016921671065305
9100,9.861519998739467
9200,9.888788032863097
9300,9.924069899595736
9400,9.963927364792895
9500,9.884777543411033
9600,9.928261823819746
9700,9.936760508437928
9800,9.97946514963698
9900,9.942366741722402
10000,9.96498703775093
10100,9.947324507294482
10200,9.904538017998178
10300,9.908204685538294
10400,9.926479468788855
10500,9.979076828536492
10600,9.933996036840234
10700,9.879521525823584
10800,9.94068504035404
10900,9.969371376716431
11000,9.949207779804453
11100,9.943990761646873
11200,9.992406693623373
11300,9.92904447498318
11400,9.98962965011087
11500,9.920031395279182
11600,9.947070502951881
11700,9.929169712030017
11800,9.942650796680915
11900,9.916855942377296
12000,9.931989407186904
12100,9.954430428150502
12200,9.937195774551121
12300,9.991975709425141
12400,9.9319630049038
12500,9.937836786852138
12600,9.932325963568601
12700,9.964465845075843
12800,9.902579053169184
12900,9.95600819829491
13000,9.965884564105309
13100,9.961767487922991
13200,9.921712436720554
13300,9.919928783664211
13400,9.969489121525562
13500,9.957929376540264
13600,9.91816788009615
13700,9.939357532107167
13800,9.923635270710136
13900,9.936616569323895
14000,9.982084479750007
14100,9.940918525379828
14200,9.939853363636757
14300,9.9846894121861
14400,9.952185103402904
14500,9.9782111232673
14600,9.984797995274853
14700,9.932053268310888
14800,9.946673057211136
14900,9.938661820028464
15000,9.936661765795748
15100,9.946431071883914
15200,9.958738773422397
15300,9.953461721933401
15400,9.971919733055138
15500,9.939621049249496
15600,9.944207595233976
15700,9.975842839346136
15800,9.896512871932174
15900,9.93817717352323
16000,9.92548211607189
16100,9.915400806782472
16200,9.957168450186046
16300,9.972357697328796
16400,9.939831839117538
16500,9.931513601689915
16600,9.932607346413839
16700,9.954314295512503
16800,9.987279779473383
16900,9.910907850322943
17000,10.012284960862935
17100,9.919915701377612
17200,9.941535850379388
17300,9.974943341553484
17400,9.940612056393817
17500,9.953018277563679
17600,9.905040055714736
17700,10.005745117680718
17800,9.970988712405308
17900,9.967131831026443
18000,9.931440662427114
18100,9.937584099451229
18200,9.939347006116343
18300,9.937782511292923
18400,9.938758707795436
18500,9.938207684409818
18600,9.943852731251823
18700,9.91909630215904
18800,9.946395341562884
18900,9.913908914368427
19000,9.952676869011604
19100,9.950204850672193
19200,9.947682073155399
19300,9.98847811240789
19400,9.9697052202635
19500,9.914491801726989
19600,9.933818993904481
19700,9.957251873860848
19800,9.90944751309992
19900,9.957984981815436
20000,9.922844365615298
20100,9.96924188313237
20200,9.935988997845776
20300,9.892228969314608
20400,9.93584144569656
20500,9.899470118524057
20600,9.96501485566754
20700,9.946529323334367
20800,9.940154252005684
20900,9.921506780640044
21000,9.910968922901283
21100,9.989075016459608
21200,9.921768897450782
21300,9.935387696912606
21400,9.9655297191186
21500,9.956656151606786
21600,9.931878543609997
21700,9.989986240880228
21800,9.955663144297574
21900,9.934299129061273
22000,9.925638637815368
22100,9.950936832392834
22200,9.931392769173883
22300,9.951023307402728
22400,9.9539473540393
22500,9.944911360519612
22600,9.998807717620231
22700,9.974997906345052
22800,9.94902417863905
22900,9.948140179725506
23000,9.971178362377266
23100,9.94274713000825
23200,9.986541868976573
23300,9.962484761403708
23400,9.944930973225844
23500,9.972357143446523
23600,9.915981299357092
23700,9.920480768827566
23800,9.94921163303053
23900,9.958535301180724
24000,9.963987453090638
24100,9.951227643334498
24200,9.908480237007169
24300,9.906612936480407
24400,9.915714941166563
24500,9.93224316434798
24600,9.927581141347936
24700,9.928043397456065
24800,9.931765897063421
24900,9.93108512418221
25000,9.955591828465707
25100,9.945840174715187
25200,9.961052992123612
25300,9.946706297432463
25400,9.904769423480452
25500,9.960186181140628
25600,9.93605127238093
25700,9.957959799461854
25800,9.924425398947285
25900,9.93013707217164
26000,9.960049677233407
26100,9.923723882252396
26200,9.933774437074625
26300,9.943956772651553
26400,9.96740640095397
26500,9.976863955941731
26600,9.94787365952763
26700,9.968174720042924
26800,9.910637895613114
26900,9.989584904240452
27000,9.939479884972869
27100,9.931778451608103
27200,9.9342293549674
27300,9.9348219582834
27400,9.97306955773665
27500,9.949497081752646
27600,9.94619853976851
27700,9.92937614899769
27800,9.923471758492894
27900,9.932320544320781
28000,9.964552398580096
28100,9.949979690376509
28200,9.951650291657842
28300,9.94920511519284
28400,9.926443214434762
28500,9.974008976327042
28600,9.955138513074303
28700,9.941221145267875
28800,9.954587921108342
28900,9.958232352364824
29000,9.965548311574487
29100,9.919154459043504
