n,cvar,qcvar,tvar,qtvar,evar
1000000,70.84998999999999,9.691737,60.184121,20.436526999999998,214.55955699999998
1000000,67.944541,10.408783999999999,59.097955999999996,16.012514,203.479133
1000000,69.557729,10.121022,60.863135,18.164595,231.91868699999998
1000000,70.913823,8.493096,61.712284999999994,18.877073,227.095505
1000000,71.171787,13.899325999999999,63.461394,15.957097,203.583674
1000000,68.550444,18.35443,60.357174,19.403304,198.62514299999998
1000000,68.046126,10.413592999999999,59.156228,18.972687,198.392237
1000000,69.461373,5.696387,60.530848,20.205353,192.89363899999998
1000000,68.91577699999999,16.689913999999998,60.468737999999995,16.790557,198.330118
1000000,69.140236,17.466715,60.936856999999996,24.314183,193.371476
2000000,185.062634,45.493206,160.67901899999998,49.581303999999996,437.999434
2000000,174.34145999999998,13.76029,156.526505,36.006591,405.413992
2000000,175.582021,21.027973,158.600458,26.061507,404.092133
2000000,171.844205,20.888806,155.12507499999998,46.861703,443.137178
2000000,172.349866,28.610471,155.787477,35.028143,382.695052
2000000,173.73786099999998,30.083209,156.87680899999998,37.044455,395.306897
2000000,172.767258,22.268845,156.19806499999999,32.618325999999996,404.804191
2000000,171.17590199999998,20.881902,154.67090399999998,35.399204999999995,404.955792
2000000,172.71936599999998,25.981764,156.972162,32.853428,404.605499
2000000,175.035262,26.946977,159.46709099999998,26.421768,380.89712
3000000,321.37699299999997,32.155718,297.00482999999997,59.310154,605.933953
3000000,326.155177,30.432579999999998,299.70705799999996,46.200804,621.3375679999999
3000000,334.973589,42.770859,306.076747,47.784485,573.1534859999999
3000000,323.46628499999997,27.168882999999997,295.70906199999996,43.343838999999996,671.365239
3000000,333.064804,33.683771,306.648245,56.402611,589.8212179999999
3000000,326.36742499999997,33.249528,298.681218,57.310524,637.7171559999999
3000000,331.7973,26.959602,303.077178,62.794633999999995,589.6975699999999
3000000,335.4326,29.225020999999998,308.962468,48.630178,590.27036
3000000,325.517062,49.469801,299.829473,55.033953999999994,591.196277
3000000,319.339853,39.402963,294.834843,49.572558,655.319352
4000000,491.35813199999996,64.90756999999999,452.12895299999997,77.066254,868.0962969999999
4000000,494.13340999999997,41.110692,457.03781699999996,92.10444799999999,890.226236
4000000,474.442194,29.368817,439.619395,82.672078,825.33181
4000000,466.885265,21.422781,432.087314,77.233486,846.569366
4000000,477.324487,34.192938999999996,439.088466,59.107304,914.949765
4000000,485.27012399999995,24.554464,450.84633099999996,87.442667,872.545078
4000000,470.29256699999996,63.211473999999995,437.01644799999997,66.764085,785.381908
4000000,477.73974499999997,40.597215999999996,444.48095,75.61224299999999,814.777477
4000000,485.486829,31.724901,451.308478,67.837667,855.5458709999999
