Size,Fast_CVaR,Slow_CVaR
33000005,1.684199164,34.859499675
33000005,1.5553056509999998,38.347549801
33000005,2.161321488,29.444733774
33000005,1.5775305020000001,34.733184479
33000005,3.895663372,33.880724782
33000005,1.4674633240000001,33.617211413
33000005,1.722175902,35.831729611
33000005,1.381654099,33.077764559
33000005,1.489704455,37.788413732
34000005,3.770144719,35.487846081
34000005,1.37831751,33.882096736
34000005,0.906754455,32.748529026
34000005,1.457301642,31.946532181
34000005,0.63357297,33.441455494
34000005,1.449285375,34.377129587
34000005,1.292645573,34.79305742
34000005,2.220815129,33.274367104
34000005,1.452430925,36.094490456
34000005,1.6693613919999999,34.410333863
35000005,2.6199509020000002,39.294684532
35000005,0.946307159,36.272598839
35000005,2.215622738,36.706340018
35000005,0.72015274,37.122412623
35000005,1.953413998,34.551165871
35000005,1.419057211,35.562570541
35000005,1.573313471,43.674255957
35000005,1.413265256,35.083409173
35000005,1.686059553,38.395184987
35000005,1.139733897,37.149158232
36000005,4.138327531,40.113090108
36000005,2.461256738,42.257598609
36000005,1.422471967,34.93950429
36000005,2.454700891,37.601469876
36000005,1.209763991,33.991721604
36000005,0.634765146,36.105986721
36000005,1.6965232609999998,38.972381564
36000005,1.175402664,35.447499988
36000005,2.269489493,40.792285068
36000005,1.223161752,36.957366333
37000005,4.20134475,39.271676953
37000005,2.387561328,38.846722628
37000005,1.1929248829999999,39.727980805
37000005,2.514949798,42.188646214
37000005,1.992045735,42.03057061
37000005,0.886779014,38.626984495
37000005,1.779056441,37.361611691
37000005,1.102774295,43.927054326
37000005,2.01344703,36.042119147
37000005,1.385280891,36.086699993
38000005,1.9414663060000001,38.240428038
38000005,1.4779376499999999,39.186367888
38000005,1.932009246,38.581303776
38000005,1.876978657,36.818514108
38000005,1.328653187,44.823904402
38000005,0.949814118,39.932594397
38000005,4.328459307,39.639814981
38000005,1.290990688,38.064901829
38000005,1.9358584269999999,38.215862206
38000005,1.242448452,36.047991272
39000005,1.5998432569999999,36.210319043
39000005,1.8254342270000001,42.790686414
39000005,1.648893127,38.49508349
39000005,1.831221394,45.779548715
39000005,1.318985994,44.420414009
39000005,1.9087722569999999,41.164397149
39000005,0.904146251,43.578043709
39000005,1.490716232,44.634588985
39000005,1.9264812359999999,39.214734881
39000005,1.802830217,39.563608058
40000005,1.366180533,40.549355071
40000005,1.862766478,44.036546876
40000005,1.573550386,42.290639516
40000005,1.412139985,38.723139276
40000005,1.653033052,47.039198614
40000005,1.7022171830000001,45.128490446
40000005,0.721525505,44.250332964
40000005,1.205146869,40.248157453
40000005,2.287444926,39.535576727
40000005,1.8741660599999999,44.829603031
41000005,1.314639881,38.900109944
41000005,2.016199595,47.936471782
41000005,1.8371390939999999,40.447678873
41000005,2.313679698,46.887700988
41000005,2.715024665,41.743115011
41000005,1.7515233829999999,44.821499168
41000005,2.407097375,43.068884638
41000005,1.747270346,46.117587972
41000005,2.362598572,43.432052584
41000005,0.668093306,47.552043056
42000005,1.867126055,44.993773578
42000005,1.371307581,43.908269388
42000005,2.240931232,45.76616027
42000005,1.3136627189999999,48.612554263
42000005,1.023214184,57.025112758
42000005,1.499173367,44.113692058
42000005,1.450542603,46.544056607
42000005,1.993261145,45.283272352
42000005,2.72358878,51.341273138
42000005,1.491016094,43.934862573
43000005,2.189412051,48.688969667
43000005,2.173340715,49.178046555
43000005,2.120804957,48.271852753
43000005,2.973427488,47.856797416
43000005,1.48040522,47.123558458
43000005,2.289428787,50.782170452
43000005,2.125069315,45.857661991
43000005,2.582148542,51.135104188
43000005,1.687674233,46.206510616
43000005,1.7204857420000002,49.094723045
44000005,2.099346754,48.885181578
44000005,1.306118266,53.374503347
44000005,1.423696283,48.170645805
44000005,1.7173661,46.339700209
44000005,1.66033536,47.790452273
44000005,2.343723565,49.465984751
44000005,1.998685611,44.942948809
44000005,2.035839073,48.18483911
44000005,1.37039609,48.120520037
44000005,2.186948511,44.977505181
45000005,1.420198441,48.820842168
45000005,1.5865280689999999,45.474548874999996
45000005,2.437609991,51.168638202
45000005,1.927200324,45.325646137
45000005,2.155331322,47.559246339
45000005,1.860343393,48.65325465
45000005,2.8948751059999998,48.155962011
45000005,2.135199537,48.644595027
45000005,2.034564213,48.902039571
45000005,1.8486974059999999,49.618631401
46000005,1.8544163230000001,48.160332069
46000005,2.783424824,53.060010729
46000005,1.620688269,55.826417711
46000005,2.354110019,49.653767301
46000005,2.188561516,52.635008104
46000005,2.577219456,50.806499689
46000005,2.821623347,55.096132354
46000005,2.767582466,56.445770967
46000005,1.72259535,53.005703799
46000005,1.987093374,52.042142344
47000005,2.07052536,53.665380245
47000005,1.384327174,60.376191068
47000005,2.918592025,49.409911877
47000005,1.6938032600000001,48.654749224
47000005,1.4545379170000001,50.181253378
47000005,1.693834228,51.341356574
47000005,4.074461659,48.901600708
47000005,1.422053732,49.532769039
47000005,2.5587824,49.566268167
47000005,2.601378273,49.665631675
48000005,2.235796401,56.221940698
48000005,2.298205181,59.453056496
48000005,2.169760388,55.817643791
48000005,2.213311373,50.455951147
48000005,1.528105097,52.05855971
48000005,2.50738122,65.360400976
48000005,2.029933976,54.514561782
48000005,2.710247515,51.004650116
48000005,1.917875784,52.895997196
48000005,2.495543594,50.329449882
49000005,2.619217307,59.856548582
49000005,2.857441678,54.695153262
49000005,1.433288527,62.974467232
49000005,3.2852627500000002,56.081458757
49000005,3.771137582,53.473480662
49000005,2.968883814,59.970436729
49000005,2.3734779599999998,49.240486132
49000005,2.146567082,54.730084587
49000005,2.562611955,56.227289692
49000005,2.350805199,52.977252469
50000005,3.815461587,55.982573474
50000005,1.250119803,55.430307172
50000005,2.237020027,61.595993099
50000005,1.993852844,61.223069104
50000005,2.348141923,53.192867719
50000005,0.974333282,61.302738008
50000005,1.552709391,54.389932387
50000005,3.286042764,50.889728934
50000005,2.6495585520000002,60.550751995
50000005,3.228218063,56.808162715
51000005,1.220404021,62.738421247
51000005,2.284223192,54.440068404
51000005,1.471014726,61.4906229
51000005,2.222423365,53.716678212
51000005,3.176224913,55.189023353
51000005,2.41864215,57.85323467
51000005,2.992967762,60.828851855
51000005,2.32914609,55.784608874
51000005,3.428397898,58.256432524
51000005,2.856898598,58.210198386
52000005,1.982641413,55.600188381
52000005,2.525291998,61.439381751
52000005,1.687137045,59.739951065
52000005,1.5826868539999999,68.536175114
52000005,1.907712118,53.445698638
52000005,2.292445515,64.445588737
52000005,1.561087667,61.239992328
52000005,1.587854187,55.902933852
52000005,2.59994797,62.476971801
52000005,2.55339246,55.266005308
53000005,3.171928824,62.031043031
53000005,2.587907294,57.883341327
53000005,2.484597161,57.153708894
53000005,1.919722889,61.334988867
53000005,2.254136043,57.655440151
53000005,2.303985112,59.772188647
53000005,1.160536579,60.643877785
53000005,2.425243994,57.333101055
53000005,1.946480032,71.693108839
53000005,2.550735496,63.752866542
54000005,0.936709485,59.815971706
54000005,1.8633789570000001,62.079267963
54000005,2.924617848,61.792034079
54000005,2.239492956,67.118480137
54000005,2.641716331,61.098233022
54000005,1.829495748,59.881869931
54000005,2.097594417,59.880631649
54000005,2.2285873880000002,58.263724863
54000005,2.138390073,62.359255124
54000005,2.55364326,55.649970915
55000005,2.402058071,62.487497856
55000005,2.492322844,54.354929558
55000005,1.7857810060000001,59.159952821
55000005,2.145027733,63.508706748
55000005,1.7811299,64.271115615
55000005,1.5055990700000002,65.885523111
55000005,1.44085508,61.030894445
55000005,3.096801066,61.528671304
55000005,3.2937688769999998,53.624641336
55000005,1.883821104,59.847529504
56000005,2.520501131,64.748876195
56000005,2.968290792,66.438878845
56000005,1.556628422,58.966391933
56000005,0.815324357,68.209805336
56000005,1.504941756,60.764897658
56000005,1.506416512,62.402923069
56000005,1.716829875,62.53971153
56000005,2.995452042,62.016934996
56000005,1.9437106750000002,64.110201956
56000005,1.8957804569999999,64.193226998
57000005,2.9258057060000002,72.364007836
57000005,3.900801712,61.711568198
57000005,1.230152176,63.150072919
57000005,2.713799408,61.592998881
57000005,3.076198439,64.291702642
57000005,2.590369914,63.936041269
57000005,2.239247686,63.671008591
57000005,1.585057049,63.817553153
57000005,2.091269874,72.390401507
57000005,1.92437222,63.055690333
58000005,2.420540532,62.16814434
58000005,2.5306433569999998,64.362105236
58000005,3.54402681,64.12294548
58000005,2.545667429,71.929325924
58000005,3.740609908,63.226778056
58000005,2.767399271,62.839223317
58000005,1.4162349779999999,67.23557586
58000005,2.04786956,64.767912956
58000005,2.816154639,60.490731707
58000005,2.092257857,64.309348552
59000005,1.1566272149999999,66.851874158
59000005,2.210177533,68.336507489
59000005,2.381114193,62.077190738
59000005,3.536043754,71.028670621
59000005,1.291631702,65.150084828
59000005,2.012592287,64.553817407
59000005,2.313445037,65.995306887
59000005,2.884993981,70.168969741
59000005,2.285745277,58.678825305
59000005,3.074688718,76.29999535
60000005,2.143645831,62.360292981
60000005,2.241257214,70.328195594
60000005,2.935097476,69.608722378
60000005,2.602977173,71.449331161
60000005,1.081481534,69.349561884
60000005,3.303115429,63.341995746
60000005,2.3330003599999998,76.770785716
60000005,3.054157073,67.801729012
60000005,2.187000097,81.379022752
60000005,3.1356468140000002,66.751313903
61000005,1.966222825,68.366551436
61000005,2.208097843,67.866453525
61000005,2.799077686,82.555574971
61000005,2.475044092,79.141531441
61000005,1.60610945,72.987295343
61000005,2.439172532,79.178976633
61000005,3.433344708,70.922283576
61000005,2.833833582,79.120024638
61000005,3.23495532,69.697811596
61000005,2.825644891,70.779064981
62000005,6.091420878,75.988025315
62000005,2.4087427,70.630648175
62000005,3.945597872,69.931152414
62000005,3.703195112,74.602341898
62000005,2.668670132,71.225279307
62000005,1.8931901180000001,74.007812698
62000005,2.594925249,75.094783408
62000005,1.933016024,68.151155449
62000005,2.480590936,69.194208757
62000005,3.754278877,69.834252456
63000005,3.069839752,77.153109383
63000005,2.319715279,84.106245179
63000005,3.276727861,70.230772091
63000005,2.835143028,75.674243161
63000005,3.560045657,72.353928731
63000005,1.111097639,77.440620919
63000005,1.870543217,75.326391607
63000005,3.322979591,72.765596901
63000005,3.196220962,70.074014521
63000005,2.793794557,86.261330208
64000005,3.064987979,75.181250317
64000005,2.315280952,71.513667516
64000005,1.67759693,75.777533166
64000005,3.637586893,75.928976089
64000005,2.985043818,73.198862108
64000005,3.236126557,81.610873837
64000005,1.717011736,71.330736427
64000005,2.605605963,76.465852652
64000005,3.22215964,74.398826184
64000005,2.111377121,71.435779721
65000005,3.022912644,75.894254867
65000005,2.64837371,77.343541302
65000005,2.310052533,79.72413992
65000005,2.435895264,82.251818234
65000005,3.067071479,68.32597398
65000005,3.396139097,84.561999128
65000005,2.22105606,71.581707167
65000005,2.848106396,83.643151399
65000005,2.696844363,82.691628867
65000005,3.596875374,70.349685143
66000005,2.127578241,74.755158997
66000005,1.173284572,80.816595228
66000005,2.8135459259999998,74.183498135
66000005,2.6727843,72.16039934
66000005,3.068409969,78.180756194
66000005,2.184935394,76.725656162
66000005,3.265953479,82.702189827
66000005,2.528434372,75.609272185
66000005,3.496223106,84.055054964
66000005,3.278558634,74.335444933
67000005,2.954431544,82.814509402
67000005,4.407334944,78.613898246
67000005,1.422890672,74.383048789
67000005,2.534876496,87.498494118
67000005,2.116372983,81.150209625
67000005,3.211720086,77.444872444
67000005,3.187489012,86.905796332
67000005,2.142190382,80.907676101
67000005,2.793838207,76.505360982
67000005,3.521347757,78.472715229
68000005,2.510212671,83.466684396
68000005,2.700801466,73.701992338
68000005,3.873209723,84.543498424
68000005,2.875879103,83.770238434
68000005,1.214028261,80.307752512
68000005,1.5156126429999999,80.950567209
68000005,3.342068538,78.237154506
68000005,2.515927691,82.074693747
68000005,2.239497904,93.059538054
68000005,2.894678556,77.225539061
69000005,3.022387439,82.229434467
69000005,2.899690789,84.789636409
69000005,2.780115906,73.356975994
69000005,2.204985534,89.903334256
69000005,2.384269613,77.077395186
69000005,3.669831087,75.628616853
69000005,2.3223138629999998,59.14429948
69000005,4.500159118,61.749178589
69000005,4.263437366,63.225093367
69000005,4.146149083,59.112742783
70000005,2.502829972,88.539129781
70000005,2.500787623,83.007257094
70000005,4.503161811,82.078732854
70000005,3.366552948,78.271812379
70000005,2.332184509,74.675620226
70000005,2.934833111,81.515895132
70000005,3.575202429,80.365776998
70000005,3.187555466,92.328339313
70000005,3.834457851,87.279306086
70000005,2.939091688,90.857646121
71000005,3.870925398,92.872941098
71000005,2.024921854,85.728404416
71000005,7.398132827,82.209161287
71000005,3.698335257,79.677038605
71000005,3.194379308,84.62846614
71000005,3.406128855,93.37544872
71000005,1.518822164,85.853877283
71000005,2.948734097,80.110281248
71000005,4.853767942,83.567711336
71000005,1.390776721,84.856373357
72000005,3.180583769,85.592393622
72000005,2.208837742,87.060376298
72000005,3.859634648,84.66843781
72000005,3.198668122,84.216030698
72000005,4.746004375,90.356591444
72000005,2.432902611,99.116341824
72000005,2.199906628,88.248765584
72000005,0.836609904,89.453446039
72000005,4.150859519,83.318239667
72000005,3.155125825,86.581367997
73000005,4.461587955,86.25281748
73000005,2.790621024,97.106652633
73000005,3.479451847,87.261840273
73000005,3.086379598,83.753636501
73000005,3.07695539,85.865207987
73000005,2.016046257,84.698947511
73000005,3.61836694,87.69404049
73000005,4.18406094,93.340397209
73000005,4.118329869,99.168177708
73000005,2.114475923,89.840972276
74000005,3.431401582,94.528889778
74000005,0.639028305,94.780999634
74000005,4.04075491,87.898143464
74000005,2.5134849790000002,96.381059568
74000005,2.924067537,96.902765393
74000005,4.124883983,95.546700076
74000005,2.039209877,89.462330306
74000005,1.962330513,87.792525842
74000005,3.4648132179999998,98.38542336
74000005,3.387210096,94.915731611
75000005,4.634174599,93.135991447
75000005,2.942376019,104.68386735
75000005,2.936701966,99.395029357
75000005,2.511602669,99.361533544
75000005,3.8916877149999998,95.519187366
75000005,3.202144653,84.639153237
75000005,1.677829556,90.4885736
75000005,3.2731569609999998,90.392625247
75000005,2.333443201,94.080906765
75000005,3.050033539,96.168377531
76000005,3.106410982,101.166813056
76000005,3.296463561,87.306156381
76000005,4.747704442,94.832229534
76000005,3.770734657,97.985044814
76000005,3.716722459,85.354325834
76000005,2.274464737,89.804219764
76000005,4.60414077,96.85506737
76000005,2.862805759,86.685140517
76000005,4.790234754,83.071680522
76000005,4.542876199,86.098537936
77000005,3.717602849,93.633577428
77000005,3.524941558,87.750157698
77000005,2.633884369,101.963751352
77000005,2.443080664,93.158383601
77000005,3.758590055,99.130870437
77000005,4.747200437,97.70558881
77000005,2.346826806,100.268243815
77000005,3.927124357,93.123359431
77000005,3.072783694,91.038604349
77000005,3.409869341,101.069645133
78000005,5.604004363,100.501541143
78000005,3.665937644,96.377079672
78000005,3.5531951189999997,93.98539004
78000005,4.535400585,98.64562781
78000005,1.558903651,92.364905214
78000005,3.0711853749999998,98.850727795
78000005,3.567383944,91.197744391
78000005,3.844103434,110.552599137
78000005,3.724119224,105.399646583
78000005,3.543543824,103.235210603
79000005,4.290491605,96.871514091
79000005,3.069798776,92.645852475
79000005,3.412019656,108.963593319
79000005,4.115167055,100.615376801
79000005,1.8020000889999999,98.959016106
79000005,4.078065148,98.899112838
79000005,4.459196739,108.465108344
79000005,3.866301524,98.956815207
79000005,3.397079279,101.734429682
79000005,6.670032409,93.831649569
80000005,5.417211781,100.310904709
80000005,4.530650906,107.71893894
80000005,4.332768691,95.996048871
80000005,4.689459795,111.780889712
80000005,5.975421793,99.777249248
80000005,5.084007354,94.514126764
80000005,5.646433503,103.837719673
80000005,3.142987054,98.502447428
80000005,2.778661329,95.872431214
80000005,2.056634293,92.739125721
81000005,6.220508563,107.606523286
81000005,2.320293664,98.206763111
81000005,3.884812146,94.999630132
81000005,3.338699558,106.892534489
81000005,4.233492364,98.312585559
81000005,2.440609268,93.002961284
81000005,4.346537098,96.79810112
81000005,4.37401372,104.58952628
81000005,3.018537816,92.416622227
81000005,2.126434787,98.037535779
82000005,4.050741354,100.1971688
82000005,5.379102893,112.172220373
82000005,4.125072137,104.506998872
82000005,3.310767973,104.772340721
82000005,2.116279807,105.807787429
82000005,3.375888459,99.134396442
82000005,4.29092038,98.348429505
82000005,2.864966091,106.720863414
82000005,4.36603286,107.510514069
82000005,2.057642544,104.980202826
83000005,4.197882175,98.739773021
83000005,5.999790974,108.249570639
83000005,5.382595997,98.767951069
83000005,2.900677851,99.232732844
83000005,5.170192031,101.331587636
83000005,4.246374188,98.489839638
83000005,4.135372669,97.23873071
83000005,3.226047993,107.125690903
83000005,1.976993448,101.869195892
83000005,3.125839237,92.029862198
84000005,4.50985733,106.529570587
84000005,4.875781144,102.706495899
84000005,3.11982256,106.034263743
84000005,5.551678377,109.888670805
84000005,3.232570168,105.744366593
84000005,2.219144765,118.516288025
84000005,4.946837544,106.573118546
84000005,4.646088698,110.283349148
84000005,4.665546728,104.901532173
84000005,2.744614652,108.978153733
85000005,1.895431452,120.162554253
85000005,4.784697847,113.196169626
85000005,2.610870871,112.535182341
85000005,2.669657374,123.228529116
85000005,3.088271826,119.418998463
85000005,3.823570138,107.589794075
85000005,4.128008193,112.053932855
85000005,4.256443066,100.766592587
85000005,5.134971002,103.806792759
85000005,3.823322782,103.77129453
